order,prefecture,city,kana_prefecture,kana_municipality
010006,北海道,,ホッカイドウ,
011002,北海道,札幌市,ホッカイドウ,サッポロシ
012025,北海道,函館市,ホッカイドウ,ハコダテシ
012033,北海道,小樽市,ホッカイドウ,オタルシ
012041,北海道,旭川市,ホッカイドウ,アサヒカワシ
012050,北海道,室蘭市,ホッカイドウ,ムロランシ
012068,北海道,釧路市,ホッカイドウ,クシロシ
012076,北海道,帯広市,ホッカイドウ,オビヒロシ
012084,北海道,北見市,ホッカイドウ,キタミシ
012092,北海道,夕張市,ホッカイドウ,ユウバリシ
012106,北海道,岩見沢市,ホッカイドウ,イワミザワシ
012114,北海道,網走市,ホッカイドウ,アバシリシ
012122,北海道,留萌市,ホッカイドウ,ルモイシ
012131,北海道,苫小牧市,ホッカイドウ,トマコマイシ
012149,北海道,稚内市,ホッカイドウ,ワッカナイシ
012157,北海道,美唄市,ホッカイドウ,ビバイシ
012165,北海道,芦別市,ホッカイドウ,アシベツシ
012173,北海道,江別市,ホッカイドウ,エベツシ
012181,北海道,赤平市,ホッカイドウ,アカビラシ
012190,北海道,紋別市,ホッカイドウ,モンベツシ
012203,北海道,士別市,ホッカイドウ,シベツシ
012211,北海道,名寄市,ホッカイドウ,ナヨロシ
012220,北海道,三笠市,ホッカイドウ,ミカサシ
012238,北海道,根室市,ホッカイドウ,ネムロシ
012246,北海道,千歳市,ホッカイドウ,チトセシ
012254,北海道,滝川市,ホッカイドウ,タキカワシ
012262,北海道,砂川市,ホッカイドウ,スナガワシ
012271,北海道,歌志内市,ホッカイドウ,ウタシナイシ
012289,北海道,深川市,ホッカイドウ,フカガワシ
012297,北海道,富良野市,ホッカイドウ,フラノシ
012301,北海道,登別市,ホッカイドウ,ノボリベツシ
012319,北海道,恵庭市,ホッカイドウ,エニワシ
012335,北海道,伊達市,ホッカイドウ,ダテシ
012343,北海道,北広島市,ホッカイドウ,キタヒロシマシ
012351,北海道,石狩市,ホッカイドウ,イシカリシ
012360,北海道,北斗市,ホッカイドウ,ホクトシ
013030,北海道,当別町,ホッカイドウ,トウベツチョウ
013048,北海道,新篠津村,ホッカイドウ,シンシノツムラ
013315,北海道,松前町,ホッカイドウ,マツマエチョウ
013323,北海道,福島町,ホッカイドウ,フクシマチョウ
013331,北海道,知内町,ホッカイドウ,シリウチチョウ
013340,北海道,木古内町,ホッカイドウ,キコナイチョウ
013374,北海道,七飯町,ホッカイドウ,ナナエチョウ
013439,北海道,鹿部町,ホッカイドウ,シカベチョウ
013455,北海道,森町,ホッカイドウ,モリマチ
013463,北海道,八雲町,ホッカイドウ,ヤクモチョウ
013471,北海道,長万部町,ホッカイドウ,オシャマンベチョウ
013617,北海道,江差町,ホッカイドウ,エサシチョウ
013625,北海道,上ノ国町,ホッカイドウ,カミノクニチョウ
013633,北海道,厚沢部町,ホッカイドウ,アッサブチョウ
013641,北海道,乙部町,ホッカイドウ,オトベチョウ
013676,北海道,奥尻町,ホッカイドウ,オクシリチョウ
013706,北海道,今金町,ホッカイドウ,イマカネチョウ
013714,北海道,せたな町,ホッカイドウ,セタナチョウ
013919,北海道,島牧村,ホッカイドウ,シママキムラ
013927,北海道,寿都町,ホッカイドウ,スッツチョウ
013935,北海道,黒松内町,ホッカイドウ,クロマツナイチョウ
013943,北海道,蘭越町,ホッカイドウ,ランコシチョウ
013951,北海道,ニセコ町,ホッカイドウ,ニセコチョウ
013960,北海道,真狩村,ホッカイドウ,マッカリムラ
013978,北海道,留寿都村,ホッカイドウ,ルスツムラ
013986,北海道,喜茂別町,ホッカイドウ,キモベツチョウ
013994,北海道,京極町,ホッカイドウ,キョウゴクチョウ
014001,北海道,倶知安町,ホッカイドウ,クッチャンチョウ
014010,北海道,共和町,ホッカイドウ,キョウワチョウ
014028,北海道,岩内町,ホッカイドウ,イワナイチョウ
014036,北海道,泊村,ホッカイドウ,トマリムラ
014044,北海道,神恵内村,ホッカイドウ,カモエナイムラ
014052,北海道,積丹町,ホッカイドウ,シャコタンチョウ
014061,北海道,古平町,ホッカイドウ,フルビラチョウ
014079,北海道,仁木町,ホッカイドウ,ニキチョウ
014087,北海道,余市町,ホッカイドウ,ヨイチチョウ
014095,北海道,赤井川村,ホッカイドウ,アカイガワムラ
014231,北海道,南幌町,ホッカイドウ,ナンポロチョウ
014249,北海道,奈井江町,ホッカイドウ,ナイエチョウ
014257,北海道,上砂川町,ホッカイドウ,カミスナガワチョウ
014273,北海道,由仁町,ホッカイドウ,ユニチョウ
014281,北海道,長沼町,ホッカイドウ,ナガヌマチョウ
014290,北海道,栗山町,ホッカイドウ,クリヤマチョウ
014303,北海道,月形町,ホッカイドウ,ツキガタチョウ
014311,北海道,浦臼町,ホッカイドウ,ウラウスチョウ
014320,北海道,新十津川町,ホッカイドウ,シントツカワチョウ
014338,北海道,妹背牛町,ホッカイドウ,モセウシチョウ
014346,北海道,秩父別町,ホッカイドウ,チップベツチョウ
014362,北海道,雨竜町,ホッカイドウ,ウリュウチョウ
014371,北海道,北竜町,ホッカイドウ,ホクリュウチョウ
014389,北海道,沼田町,ホッカイドウ,ヌマタチョウ
014524,北海道,鷹栖町,ホッカイドウ,タカスチョウ
014532,北海道,東神楽町,ホッカイドウ,ヒガシカグラチョウ
014541,北海道,当麻町,ホッカイドウ,トウマチョウ
014559,北海道,比布町,ホッカイドウ,ピップチョウ
014567,北海道,愛別町,ホッカイドウ,アイベツチョウ
014575,北海道,上川町,ホッカイドウ,カミカワチョウ
014583,北海道,東川町,ホッカイドウ,ヒガシカワチョウ
014591,北海道,美瑛町,ホッカイドウ,ビエイチョウ
014605,北海道,上富良野町,ホッカイドウ,カミフラノチョウ
014613,北海道,中富良野町,ホッカイドウ,ナカフラノチョウ
014621,北海道,南富良野町,ホッカイドウ,ミナミフラノチョウ
014630,北海道,占冠村,ホッカイドウ,シムカップムラ
014648,北海道,和寒町,ホッカイドウ,ワッサムチョウ
014656,北海道,剣淵町,ホッカイドウ,ケンブチチョウ
014681,北海道,下川町,ホッカイドウ,シモカワチョウ
014699,北海道,美深町,ホッカイドウ,ビフカチョウ
014702,北海道,音威子府村,ホッカイドウ,オトイネップムラ
014711,北海道,中川町,ホッカイドウ,ナカガワチョウ
014729,北海道,幌加内町,ホッカイドウ,ホロカナイチョウ
014818,北海道,増毛町,ホッカイドウ,マシケチョウ
014826,北海道,小平町,ホッカイドウ,オビラチョウ
014834,北海道,苫前町,ホッカイドウ,トママエチョウ
014842,北海道,羽幌町,ホッカイドウ,ハボロチョウ
014851,北海道,初山別村,ホッカイドウ,ショサンベツムラ
014869,北海道,遠別町,ホッカイドウ,エンベツチョウ
014877,北海道,天塩町,ホッカイドウ,テシオチョウ
015113,北海道,猿払村,ホッカイドウ,サルフツムラ
015121,北海道,浜頓別町,ホッカイドウ,ハマトンベツチョウ
015130,北海道,中頓別町,ホッカイドウ,ナカトンベツチョウ
015148,北海道,枝幸町,ホッカイドウ,エサシチョウ
015164,北海道,豊富町,ホッカイドウ,トヨトミチョウ
015172,北海道,礼文町,ホッカイドウ,レブンチョウ
015181,北海道,利尻町,ホッカイドウ,リシリチョウ
015199,北海道,利尻富士町,ホッカイドウ,リシリフジチョウ
015202,北海道,幌延町,ホッカイドウ,ホロノベチョウ
015431,北海道,美幌町,ホッカイドウ,ビホロチョウ
015440,北海道,津別町,ホッカイドウ,ツベツチョウ
015458,北海道,斜里町,ホッカイドウ,シャリチョウ
015466,北海道,清里町,ホッカイドウ,キヨサトチョウ
015474,北海道,小清水町,ホッカイドウ,コシミズチョウ
015491,北海道,訓子府町,ホッカイドウ,クンネップチョウ
015504,北海道,置戸町,ホッカイドウ,オケトチョウ
015521,北海道,佐呂間町,ホッカイドウ,サロマチョウ
015555,北海道,遠軽町,ホッカイドウ,エンガルチョウ
015598,北海道,湧別町,ホッカイドウ,ユウベツチョウ
015601,北海道,滝上町,ホッカイドウ,タキノウエチョウ
015610,北海道,興部町,ホッカイドウ,オコッペチョウ
015628,北海道,西興部村,ホッカイドウ,ニシオコッペムラ
015636,北海道,雄武町,ホッカイドウ,オウムチョウ
015644,北海道,大空町,ホッカイドウ,オオゾラチョウ
015717,北海道,豊浦町,ホッカイドウ,トヨウラチョウ
015750,北海道,壮瞥町,ホッカイドウ,ソウベツチョウ
015784,北海道,白老町,ホッカイドウ,シラオイチョウ
015814,北海道,厚真町,ホッカイドウ,アツマチョウ
015849,北海道,洞爺湖町,ホッカイドウ,トウヤコチョウ
015857,北海道,安平町,ホッカイドウ,アビラチョウ
015865,北海道,むかわ町,ホッカイドウ,ムカワチョウ
016012,北海道,日高町,ホッカイドウ,ヒダカチョウ
016021,北海道,平取町,ホッカイドウ,ビラトリチョウ
016047,北海道,新冠町,ホッカイドウ,ニイカップチョウ
016071,北海道,浦河町,ホッカイドウ,ウラカワチョウ
016080,北海道,様似町,ホッカイドウ,サマニチョウ
016098,北海道,えりも町,ホッカイドウ,エリモチョウ
016101,北海道,新ひだか町,ホッカイドウ,シンヒダカチョウ
016314,北海道,音更町,ホッカイドウ,オトフケチョウ
016322,北海道,士幌町,ホッカイドウ,シホロチョウ
016331,北海道,上士幌町,ホッカイドウ,カミシホロチョウ
016349,北海道,鹿追町,ホッカイドウ,シカオイチョウ
016357,北海道,新得町,ホッカイドウ,シントクチョウ
016365,北海道,清水町,ホッカイドウ,シミズチョウ
016373,北海道,芽室町,ホッカイドウ,メムロチョウ
016381,北海道,中札内村,ホッカイドウ,ナカサツナイムラ
016390,北海道,更別村,ホッカイドウ,サラベツムラ
016411,北海道,大樹町,ホッカイドウ,タイキチョウ
016420,北海道,広尾町,ホッカイドウ,ヒロオチョウ
016438,北海道,幕別町,ホッカイドウ,マクベツチョウ
016446,北海道,池田町,ホッカイドウ,イケダチョウ
016454,北海道,豊頃町,ホッカイドウ,トヨコロチョウ
016462,北海道,本別町,ホッカイドウ,ホンベツチョウ
016471,北海道,足寄町,ホッカイドウ,アショロチョウ
016489,北海道,陸別町,ホッカイドウ,リクベツチョウ
016497,北海道,浦幌町,ホッカイドウ,ウラホロチョウ
016616,北海道,釧路町,ホッカイドウ,クシロチョウ
016624,北海道,厚岸町,ホッカイドウ,アッケシチョウ
016632,北海道,浜中町,ホッカイドウ,ハマナカチョウ
016641,北海道,標茶町,ホッカイドウ,シベチャチョウ
016659,北海道,弟子屈町,ホッカイドウ,テシカガチョウ
016675,北海道,鶴居村,ホッカイドウ,ツルイムラ
016683,北海道,白糠町,ホッカイドウ,シラヌカチョウ
016918,北海道,別海町,ホッカイドウ,ベツカイチョウ
016926,北海道,中標津町,ホッカイドウ,ナカシベツチョウ
016934,北海道,標津町,ホッカイドウ,シベツチョウ
016942,北海道,羅臼町,ホッカイドウ,ラウスチョウ
020001,青森県,,アオモリケン,
022012,青森県,青森市,アオモリケン,アオモリシ
022021,青森県,弘前市,アオモリケン,ヒロサキシ
022039,青森県,八戸市,アオモリケン,ハチノヘシ
022047,青森県,黒石市,アオモリケン,クロイシシ
022055,青森県,五所川原市,アオモリケン,ゴショガワラシ
022063,青森県,十和田市,アオモリケン,トワダシ
022071,青森県,三沢市,アオモリケン,ミサワシ
022080,青森県,むつ市,アオモリケン,ムツシ
022098,青森県,つがる市,アオモリケン,ツガルシ
022101,青森県,平川市,アオモリケン,ヒラカワシ
023019,青森県,平内町,アオモリケン,ヒラナイマチ
023035,青森県,今別町,アオモリケン,イマベツマチ
023043,青森県,蓬田村,アオモリケン,ヨモギタムラ
023078,青森県,外ヶ浜町,アオモリケン,ソトガハママチ
023213,青森県,鰺ヶ沢町,アオモリケン,アジガサワマチ
023230,青森県,深浦町,アオモリケン,フカウラマチ
023434,青森県,西目屋村,アオモリケン,ニシメヤムラ
023612,青森県,藤崎町,アオモリケン,フジサキマチ
023621,青森県,大鰐町,アオモリケン,オオワニマチ
023671,青森県,田舎館村,アオモリケン,イナカダテムラ
023817,青森県,板柳町,アオモリケン,イタヤナギマチ
023841,青森県,鶴田町,アオモリケン,ツルタマチ
023876,青森県,中泊町,アオモリケン,ナカドマリマチ
024015,青森県,野辺地町,アオモリケン,ノヘジマチ
024023,青森県,七戸町,アオモリケン,シチノヘマチ
024058,青森県,六戸町,アオモリケン,ロクノヘマチ
024066,青森県,横浜町,アオモリケン,ヨコハママチ
024082,青森県,東北町,アオモリケン,トウホクマチ
024112,青森県,六ヶ所村,アオモリケン,ロッカショムラ
024121,青森県,おいらせ町,アオモリケン,オイラセチョウ
024236,青森県,大間町,アオモリケン,オオママチ
024244,青森県,東通村,アオモリケン,ヒガシドオリムラ
024252,青森県,風間浦村,アオモリケン,カザマウラムラ
024261,青森県,佐井村,アオモリケン,サイムラ
024414,青森県,三戸町,アオモリケン,サンノヘマチ
024422,青森県,五戸町,アオモリケン,ゴノヘマチ
024431,青森県,田子町,アオモリケン,タッコマチ
024457,青森県,南部町,アオモリケン,ナンブチョウ
024465,青森県,階上町,アオモリケン,ハシカミチョウ
024503,青森県,新郷村,アオモリケン,シンゴウムラ
030007,岩手県,,イワテケン,
032018,岩手県,盛岡市,イワテケン,モリオカシ
032026,岩手県,宮古市,イワテケン,ミヤコシ
032034,岩手県,大船渡市,イワテケン,オオフナトシ
032051,岩手県,花巻市,イワテケン,ハナマキシ
032069,岩手県,北上市,イワテケン,キタカミシ
032077,岩手県,久慈市,イワテケン,クジシ
032085,岩手県,遠野市,イワテケン,トオノシ
032093,岩手県,一関市,イワテケン,イチノセキシ
032107,岩手県,陸前高田市,イワテケン,リクゼンタカタシ
032115,岩手県,釜石市,イワテケン,カマイシシ
032131,岩手県,二戸市,イワテケン,ニノヘシ
032140,岩手県,八幡平市,イワテケン,ハチマンタイシ
032158,岩手県,奥州市,イワテケン,オウシュウシ
032166,岩手県,滝沢市,イワテケン,タキザワシ
033014,岩手県,雫石町,イワテケン,シズクイシチョウ
033022,岩手県,葛巻町,イワテケン,クズマキマチ
033031,岩手県,岩手町,イワテケン,イワテマチ
033219,岩手県,紫波町,イワテケン,シワチョウ
033227,岩手県,矢巾町,イワテケン,ヤハバチョウ
033669,岩手県,西和賀町,イワテケン,ニシワガマチ
033812,岩手県,金ケ崎町,イワテケン,カネガサキチョウ
034029,岩手県,平泉町,イワテケン,ヒライズミチョウ
034410,岩手県,住田町,イワテケン,スミタチョウ
034614,岩手県,大槌町,イワテケン,オオツチチョウ
034827,岩手県,山田町,イワテケン,ヤマダマチ
034835,岩手県,岩泉町,イワテケン,イワイズミチョウ
034843,岩手県,田野畑村,イワテケン,タノハタムラ
034851,岩手県,普代村,イワテケン,フダイムラ
035017,岩手県,軽米町,イワテケン,カルマイマチ
035033,岩手県,野田村,イワテケン,ノダムラ
035068,岩手県,九戸村,イワテケン,クノヘムラ
035076,岩手県,洋野町,イワテケン,ヒロノチョウ
035246,岩手県,一戸町,イワテケン,イチノヘマチ
040002,宮城県,,ミヤギケン,
041009,宮城県,仙台市,ミヤギケン,センダイシ
042021,宮城県,石巻市,ミヤギケン,イシノマキシ
042030,宮城県,塩竈市,ミヤギケン,シオガマシ
042056,宮城県,気仙沼市,ミヤギケン,ケセンヌマシ
042064,宮城県,白石市,ミヤギケン,シロイシシ
042072,宮城県,名取市,ミヤギケン,ナトリシ
042081,宮城県,角田市,ミヤギケン,カクダシ
042099,宮城県,多賀城市,ミヤギケン,タガジョウシ
042111,宮城県,岩沼市,ミヤギケン,イワヌマシ
042129,宮城県,登米市,ミヤギケン,トメシ
042137,宮城県,栗原市,ミヤギケン,クリハラシ
042145,宮城県,東松島市,ミヤギケン,ヒガシマツシマシ
042153,宮城県,大崎市,ミヤギケン,オオサキシ
042161,宮城県,富谷市,ミヤギケン,トミヤシ
043010,宮城県,蔵王町,ミヤギケン,ザオウマチ
043028,宮城県,七ヶ宿町,ミヤギケン,シチカシュクマチ
043214,宮城県,大河原町,ミヤギケン,オオガワラマチ
043222,宮城県,村田町,ミヤギケン,ムラタマチ
043231,宮城県,柴田町,ミヤギケン,シバタマチ
043249,宮城県,川崎町,ミヤギケン,カワサキマチ
043419,宮城県,丸森町,ミヤギケン,マルモリマチ
043613,宮城県,亘理町,ミヤギケン,ワタリチョウ
043621,宮城県,山元町,ミヤギケン,ヤマモトチョウ
044016,宮城県,松島町,ミヤギケン,マツシママチ
044041,宮城県,七ヶ浜町,ミヤギケン,シチガハママチ
044067,宮城県,利府町,ミヤギケン,リフチョウ
044211,宮城県,大和町,ミヤギケン,タイワチョウ
044229,宮城県,大郷町,ミヤギケン,オオサトチョウ
044245,宮城県,大衡村,ミヤギケン,オオヒラムラ
044440,宮城県,色麻町,ミヤギケン,シカマチョウ
044458,宮城県,加美町,ミヤギケン,カミマチ
045012,宮城県,涌谷町,ミヤギケン,ワクヤチョウ
045055,宮城県,美里町,ミヤギケン,ミサトマチ
045811,宮城県,女川町,ミヤギケン,オナガワチョウ
046060,宮城県,南三陸町,ミヤギケン,ミナミサンリクチョウ
050008,秋田県,,アキタケン,
052019,秋田県,秋田市,アキタケン,アキタシ
052027,秋田県,能代市,アキタケン,ノシロシ
052035,秋田県,横手市,アキタケン,ヨコテシ
052043,秋田県,大館市,アキタケン,オオダテシ
052060,秋田県,男鹿市,アキタケン,オガシ
052078,秋田県,湯沢市,アキタケン,ユザワシ
052094,秋田県,鹿角市,アキタケン,カヅノシ
052108,秋田県,由利本荘市,アキタケン,ユリホンジョウシ
052116,秋田県,潟上市,アキタケン,カタガミシ
052124,秋田県,大仙市,アキタケン,ダイセンシ
052132,秋田県,北秋田市,アキタケン,キタアキタシ
052141,秋田県,にかほ市,アキタケン,ニカホシ
052159,秋田県,仙北市,アキタケン,センボクシ
053031,秋田県,小坂町,アキタケン,コサカマチ
053279,秋田県,上小阿仁村,アキタケン,カミコアニムラ
053465,秋田県,藤里町,アキタケン,フジサトマチ
053481,秋田県,三種町,アキタケン,ミタネチョウ
053490,秋田県,八峰町,アキタケン,ハッポウチョウ
053619,秋田県,五城目町,アキタケン,ゴジョウメマチ
053635,秋田県,八郎潟町,アキタケン,ハチロウガタマチ
053660,秋田県,井川町,アキタケン,イカワマチ
053686,秋田県,大潟村,アキタケン,オオガタムラ
054348,秋田県,美郷町,アキタケン,ミサトチョウ
054631,秋田県,羽後町,アキタケン,ウゴマチ
054640,秋田県,東成瀬村,アキタケン,ヒガシナルセムラ
060003,山形県,,ヤマガタケン,
062014,山形県,山形市,ヤマガタケン,ヤマガタシ
062022,山形県,米沢市,ヤマガタケン,ヨネザワシ
062031,山形県,鶴岡市,ヤマガタケン,ツルオカシ
062049,山形県,酒田市,ヤマガタケン,サカタシ
062057,山形県,新庄市,ヤマガタケン,シンジョウシ
062065,山形県,寒河江市,ヤマガタケン,サガエシ
062073,山形県,上山市,ヤマガタケン,カミノヤマシ
062081,山形県,村山市,ヤマガタケン,ムラヤマシ
062090,山形県,長井市,ヤマガタケン,ナガイシ
062103,山形県,天童市,ヤマガタケン,テンドウシ
062111,山形県,東根市,ヤマガタケン,ヒガシネシ
062120,山形県,尾花沢市,ヤマガタケン,オバナザワシ
062138,山形県,南陽市,ヤマガタケン,ナンヨウシ
063011,山形県,山辺町,ヤマガタケン,ヤマノベマチ
063029,山形県,中山町,ヤマガタケン,ナカヤママチ
063215,山形県,河北町,ヤマガタケン,カホクチョウ
063223,山形県,西川町,ヤマガタケン,ニシカワマチ
063231,山形県,朝日町,ヤマガタケン,アサヒマチ
063240,山形県,大江町,ヤマガタケン,オオエマチ
063410,山形県,大石田町,ヤマガタケン,オオイシダマチ
063614,山形県,金山町,ヤマガタケン,カネヤママチ
063622,山形県,最上町,ヤマガタケン,モガミマチ
063631,山形県,舟形町,ヤマガタケン,フナガタマチ
063649,山形県,真室川町,ヤマガタケン,マムロガワマチ
063657,山形県,大蔵村,ヤマガタケン,オオクラムラ
063665,山形県,鮭川村,ヤマガタケン,サケガワムラ
063673,山形県,戸沢村,ヤマガタケン,トザワムラ
063819,山形県,高畠町,ヤマガタケン,タカハタマチ
063827,山形県,川西町,ヤマガタケン,カワニシマチ
064017,山形県,小国町,ヤマガタケン,オグニマチ
064025,山形県,白鷹町,ヤマガタケン,シラタカマチ
064033,山形県,飯豊町,ヤマガタケン,イイデマチ
064262,山形県,三川町,ヤマガタケン,ミカワマチ
064289,山形県,庄内町,ヤマガタケン,シヨウナイマチ
064611,山形県,遊佐町,ヤマガタケン,ユザマチ
070009,福島県,,フクシマケン,
072010,福島県,福島市,フクシマケン,フクシマシ
072028,福島県,会津若松市,フクシマケン,アイヅワカマツシ
072036,福島県,郡山市,フクシマケン,コオリヤマシ
072044,福島県,いわき市,フクシマケン,イワキシ
072052,福島県,白河市,フクシマケン,シラカワシ
072079,福島県,須賀川市,フクシマケン,スカガワシ
072087,福島県,喜多方市,フクシマケン,キタカタシ
072095,福島県,相馬市,フクシマケン,ソウマシ
072109,福島県,二本松市,フクシマケン,ニホンマツシ
072117,福島県,田村市,フクシマケン,タムラシ
072125,福島県,南相馬市,フクシマケン,ミナミソウマシ
072133,福島県,伊達市,フクシマケン,ダテシ
072141,福島県,本宮市,フクシマケン,モトミヤシ
073016,福島県,桑折町,フクシマケン,コオリマチ
073032,福島県,国見町,フクシマケン,クニミマチ
073083,福島県,川俣町,フクシマケン,カワマタマチ
073229,福島県,大玉村,フクシマケン,オオタマムラ
073423,福島県,鏡石町,フクシマケン,カガミイシマチ
073440,福島県,天栄村,フクシマケン,テンエイムラ
073628,福島県,下郷町,フクシマケン,シモゴウマチ
073644,福島県,檜枝岐村,フクシマケン,ヒノエマタムラ
073679,福島県,只見町,フクシマケン,タダミマチ
073687,福島県,南会津町,フクシマケン,ミナミアイヅマチ
074021,福島県,北塩原村,フクシマケン,キタシオバラムラ
074055,福島県,西会津町,フクシマケン,ニシアイヅマチ
074071,福島県,磐梯町,フクシマケン,バンダイマチ
074080,福島県,猪苗代町,フクシマケン,イナワシロマチ
074217,福島県,会津坂下町,フクシマケン,アイヅバンゲマチ
074225,福島県,湯川村,フクシマケン,ユガワムラ
074233,福島県,柳津町,フクシマケン,ヤナイヅマチ
074446,福島県,三島町,フクシマケン,ミシママチ
074454,福島県,金山町,フクシマケン,カネヤママチ
074462,福島県,昭和村,フクシマケン,ショウワムラ
074471,福島県,会津美里町,フクシマケン,アイヅミサトマチ
074616,福島県,西郷村,フクシマケン,ニシゴウムラ
074641,福島県,泉崎村,フクシマケン,イズミザキムラ
074659,福島県,中島村,フクシマケン,ナカジマムラ
074667,福島県,矢吹町,フクシマケン,ヤブキマチ
074811,福島県,棚倉町,フクシマケン,タナグラマチ
074829,福島県,矢祭町,フクシマケン,ヤマツリマチ
074837,福島県,塙町,フクシマケン,ハナワマチ
074845,福島県,鮫川村,フクシマケン,サメガワムラ
075019,福島県,石川町,フクシマケン,イシカワマチ
075027,福島県,玉川村,フクシマケン,タマカワムラ
075035,福島県,平田村,フクシマケン,ヒラタムラ
075043,福島県,浅川町,フクシマケン,アサカワマチ
075051,福島県,古殿町,フクシマケン,フルドノマチ
075213,福島県,三春町,フクシマケン,ミハルマチ
075221,福島県,小野町,フクシマケン,オノマチ
075418,福島県,広野町,フクシマケン,ヒロノマチ
075426,福島県,楢葉町,フクシマケン,ナラハマチ
075434,福島県,富岡町,フクシマケン,トミオカマチ
075442,福島県,川内村,フクシマケン,カワウチムラ
075451,福島県,大熊町,フクシマケン,オオクママチ
075469,福島県,双葉町,フクシマケン,フタバマチ
075477,福島県,浪江町,フクシマケン,ナミエマチ
075485,福島県,葛尾村,フクシマケン,カツラオムラ
075612,福島県,新地町,フクシマケン,シンチマチ
075647,福島県,飯舘村,フクシマケン,イイタテムラ
080004,茨城県,,イバラキケン,
082015,茨城県,水戸市,イバラキケン,ミトシ
082023,茨城県,日立市,イバラキケン,ヒタチシ
082031,茨城県,土浦市,イバラキケン,ツチウラシ
082040,茨城県,古河市,イバラキケン,コガシ
082058,茨城県,石岡市,イバラキケン,イシオカシ
082074,茨城県,結城市,イバラキケン,ユウキシ
082082,茨城県,龍ケ崎市,イバラキケン,リュウガサキシ
082104,茨城県,下妻市,イバラキケン,シモツマシ
082112,茨城県,常総市,イバラキケン,ジョウソウシ
082121,茨城県,常陸太田市,イバラキケン,ヒタチオオタシ
082147,茨城県,高萩市,イバラキケン,タカハギシ
082155,茨城県,北茨城市,イバラキケン,キタイバラキシ
082163,茨城県,笠間市,イバラキケン,カサマシ
082171,茨城県,取手市,イバラキケン,トリデシ
082198,茨城県,牛久市,イバラキケン,ウシクシ
082201,茨城県,つくば市,イバラキケン,ツクバシ
082210,茨城県,ひたちなか市,イバラキケン,ヒタチナカシ
082228,茨城県,鹿嶋市,イバラキケン,カシマシ
082236,茨城県,潮来市,イバラキケン,イタコシ
082244,茨城県,守谷市,イバラキケン,モリヤシ
